"Species","sampleYear","annualCount","DataSource","LocationID","RunType","SASAP.Region","Lat","Lon","AWC_CODE","location_source","Flag"
"chinook","1997","403","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","1998","240","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","1999","159","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2000","155","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2001","9","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2002","262","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2003","143","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2004","375","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2005","389","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2006","150","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2007","82","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2008","80","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2009","146","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2010","80","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2011","139","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2012","59","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2013","107","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2014","184","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2015","444","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2016","1478","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","2011","59728","ADFG","Nushagak River",NA,"Bristol Bay","58.90614","-157.7336","325-30-10100","",NA
"chinook","2012","110177","ADFG","Nushagak River",NA,"Bristol Bay","58.90614","-157.7336","325-30-10100","",NA
"chinook","2013","113743","ADFG","Nushagak River",NA,"Bristol Bay","58.90614","-157.7336","325-30-10100","",NA
"chinook","2014","74660","ADFG","Nushagak River",NA,"Bristol Bay","58.90614","-157.7336","325-30-10100","",NA
"chinook","2015","98021","ADFG","Nushagak River",NA,"Bristol Bay","58.90614","-157.7336","325-30-10100","",NA
"chinook","2016","125368","ADFG","Nushagak River",NA,"Bristol Bay","58.90614","-157.7336","325-30-10100","",NA
"chinook","1922","242","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1923","286","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1924","424","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1925","919","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1926","1683","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1927","1823","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1928","3353","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1929","3425","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1930","2034","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1931","1643","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1932","2225","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1934","1393","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1935","1950","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1936","1622","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1937","2250","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1939","2234","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1949","3007","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1950","5075","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1952","3826","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1953","1659","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1954","4596","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1955","1973","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1956","2036","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1957","2589","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1963","564","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1964","914","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1965","942","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1966","822","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1973","822","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1974","672","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1975","871","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1977","822","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1978","9795","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1979","1050","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1980","876","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1981","1603","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1982","2412","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1983","1943","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1984","5548","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1985","3144","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1986","3612","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1987","2624","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1988","4868","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1989","3316","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1990","4364","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1991","4531","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1992","3806","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1993","1946","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1994","2963","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1995","4288","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1996","3488","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1997","3824","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1998","3075","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1999","3728","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2000","4285","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2001","3028","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2002","3541","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2003","6412","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2004","7840","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2005","6486","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2006","3535","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2007","2000","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2008","1730","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2009","1680","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2010","3679","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2011","2728","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2012","1449","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2013","1253","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2014","2895","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2015","2054","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","2016","1843","ADFG","Chignik River",NA,"Chignik","56.26160","-158.7122","271-10-10310","",NA
"chinook","1926","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1978","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1980","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1981","2","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1982","3","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1983","3","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1988","2","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1989","3","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1993","2","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1994","5","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1995","3","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1997","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1998","3","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","1999","8","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2000","8","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2001","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2002","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2003","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2004","2","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2005","2","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2006","4","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2010","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2012","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2013","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
"chinook","2014","1","ADFG","Afognak River",NA,"Kodiak","58.08150","-152.8286","252-34-10020","",NA
